computer_time,accX,accY,accZ
1779799403.892028,,,
1779799404.051473,,,
1779799404.2095823,-0.23330021,4.5445685,8.7762756
1779799404.3366256,-0.35294133,4.6307101,8.8767738
1779799404.4990244,-0.15672988,4.606782,8.7906322
1779799404.6204598,-0.21415763,4.616353,8.8097744
1779799404.7565694,-0.22372891,4.5732822,8.9437733
1779799404.8963742,-0.21415763,4.6450667,8.833703
1779799405.0225277,-0.23330021,4.6307101,8.6757765
1779799405.1526058,-0.35772699,4.458427,8.4364948
1779799405.3013108,-0.084945202,4.3722854,8.6709909
1779799405.4188912,0.034695927,4.3818564,8.7379904
1779799405.556017,-0.022731815,4.5732822,8.4604225
1779799405.700578,-0.013160525,4.4727836,8.7044907
1779799405.8318815,-0.056231331,4.5254259,8.895916
1779799405.9492095,-0.037088752,4.4871407,8.7810612
1779799406.0985467,-0.17587246,4.5445685,9.0969133
1779799406.2172444,-0.19980069,4.5876393,8.3264246
1779799406.3283284,0.072981089,4.3722854,8.8480597
1779799406.4574742,-0.0035892338,4.4105701,8.8719883
1779799406.5688539,-0.10408778,4.4823551,8.690134
1779799406.7286425,-0.11844472,4.4297128,9.0059862
1779799406.8722703,-0.12323037,4.3483567,8.8432741
1779799406.9991188,-0.017946171,4.386642,8.8480597
1779799407.137656,-0.24765715,4.2047877,8.9342012
1779799407.287896,-0.37208393,4.4344988,8.9916296
1779799407.409975,-0.13280165,4.3627138,8.9294157
1779799407.5464199,-0.061016977,4.3962135,8.8384886
1779799407.6576436,-0.20937198,4.4297128,8.8384886
1779799407.8023033,-0.065802626,4.3244286,8.8289175
1779799407.9088964,-0.089730851,4.3722854,8.7571325
1779799408.0308473,-0.070588268,4.3579283,8.905488
1779799408.174088,-0.094516493,4.4440699,8.9007025
1779799408.2875717,-0.17587246,4.4488554,8.9007025
1779799408.4312954,-0.10887343,4.3722854,8.8863449
1779799408.551599,-0.056231331,4.391428,8.6997051
1779799408.7038472,-0.13758731,4.4488554,8.8002033
1779799408.8072665,-0.065802626,4.391428,8.9294157
1779799408.9220943,-0.23330021,4.4536409,8.7571325
1779799409.0546253,-0.18544376,4.4775696,8.9150591
1779799409.173404,0.10648061,4.3579283,8.824132
1779799409.3040483,0.12562318,4.2335014,9.0681992
1779799409.4328706,-0.28115666,4.3435712,8.7475615
1779799409.5510938,0.015553347,4.2191443,8.9820576
1779799409.696172,-0.056231331,4.238287,9.049057
1779799409.8053467,0.28354949,4.3148575,9.0586281
1779799409.953551,-0.051445685,4.3722854,8.9581299
1779799410.089987,-0.11844472,4.4057846,8.8624172
1779799410.2351797,-0.20937198,4.1952162,9.0203428
1779799410.377013,-0.16151553,4.1904306,9.0634136
1779799410.5243216,-0.10408778,4.0803609,9.0347004
1779799410.6471708,-0.4103691,4.2813578,8.9294157
1779799410.7887042,-0.089730851,4.1808596,9.0634136
1779799410.8966396,-0.25244278,4.2095733,8.967701
1779799411.0574348,-0.22851457,4.1186461,8.9437733
1779799411.2284822,-0.14715859,4.1138601,8.9533443
1779799411.349659,-0.13280165,4.1090746,9.0155573
1779799411.5221481,-0.20937198,4.1330028,9.0155573
1779799411.6772883,-0.20937198,4.0468612,8.9916296
1779799411.8194263,-0.24765715,4.0755754,9.0155573
1779799411.957195,-0.15194423,4.1042891,9.0873423
1779799412.0711577,-0.18065812,4.1234317,9.049057
1779799412.2299078,-0.33858439,4.0755754,9.0634136
1779799412.364198,-0.19980069,4.1090746,8.9629154
1779799412.48407,-0.33379877,4.0372901,8.9437733
1779799412.604932,-0.19980069,4.1138601,9.0251284
1779799412.7567587,-0.28594232,4.1377888,8.9581299
1779799412.873606,-0.19501504,4.0851464,8.977272
1779799413.0328932,-0.20458634,4.1042891,8.9916296
1779799413.1603758,-0.19980069,4.0420756,8.967701
1779799413.3004136,-0.24765715,4.0707893,9.0729856
1779799413.4186184,-0.1902294,4.0803609,9.0203428
1779799413.5213256,-0.25722843,4.1042891,9.0155573
1779799413.6605518,-0.26679972,4.0851464,9.1543417
1779799413.7986636,-0.26201409,4.1425743,9.0634136
